Player name,Position,Win,Loss,Earned run Average,Games played,Games Started,Complete Game,Shutout,Save,Save Opportunity,Innings pitched,hit,run,earned run,home run,Hit Batsmen,base on balls,Strikeouts,WHIP,AVG
B Mathews,P,166.0,136.0,3.0,323.0,315.0,289.0,10.0,3.0,0.0,2734.1,3008.0,1758.0,910.0,50.0,48.0,336.0,1199.0,1.22,0.666
C Capuano,P,77.0,92.0,4.38,316.0,225.0,4.0,3.0,0.0,3.0,1429.2,1481.0,756.0,696.0,196.0,56.0,463.0,1199.0,1.36,0.268
B Wagner,P,47.0,40.0,2.31,853.0,0.0,0.0,0.0,422.0,476.0,903.0,601.0,262.0,232.0,82.0,33.0,300.0,1196.0,1.0,0.187
Z Wheeler,P,74.0,58.0,3.44,196.0,196.0,4.0,3.0,0.0,0.0,1191.0,1068.0,496.0,455.0,108.0,51.0,367.0,1196.0,1.2,0.239
R Ortiz,P,113.0,89.0,4.51,311.0,266.0,9.0,3.0,0.0,0.0,1661.1,1618.0,903.0,832.0,179.0,45.0,860.0,1192.0,1.49,0.258
J Slaton,P,151.0,158.0,4.03,496.0,360.0,86.0,22.0,14.0,14.0,2683.2,2773.0,1335.0,1202.0,277.0,48.0,1004.0,1191.0,1.41,0.27
J Wright,P,97.0,130.0,4.81,719.0,248.0,6.0,3.0,2.0,18.0,2036.2,2168.0,1208.0,1088.0,200.0,155.0,978.0,1189.0,1.54,0.279
L French,P,197.0,171.0,3.45,570.0,383.0,198.0,40.0,17.0,0.0,3152.0,3375.0,1441.0,1207.0,164.0,42.0,819.0,1187.0,1.33,0.272
J Sanford,P,137.0,101.0,3.69,388.0,293.0,76.0,14.0,11.0,0.0,2049.1,1907.0,952.0,840.0,174.0,46.0,737.0,1182.0,1.29,0.247
K Hill,P,117.0,109.0,4.06,332.0,315.0,19.0,8.0,0.0,0.0,1973.0,1938.0,977.0,891.0,162.0,47.0,852.0,1181.0,1.41,0.26
M Pattin,P,114.0,109.0,3.62,475.0,224.0,64.0,14.0,25.0,26.0,2038.2,1933.0,905.0,821.0,209.0,45.0,604.0,1179.0,1.24,0.251
J Orosco,P,87.0,80.0,3.16,1252.0,4.0,0.0,0.0,144.0,150.0,1295.1,1055.0,512.0,455.0,113.0,34.0,581.0,1179.0,1.26,0.223
T Farrell,P,106.0,111.0,3.45,590.0,134.0,41.0,5.0,83.0,86.0,1705.0,1628.0,737.0,653.0,152.0,27.0,468.0,1177.0,1.23,0.254
E Hanson,P,89.0,84.0,4.15,245.0,238.0,26.0,5.0,0.0,0.0,1555.1,1604.0,776.0,717.0,139.0,29.0,504.0,1175.0,1.36,0.267
B Bolin,P,88.0,75.0,3.4,495.0,164.0,32.0,10.0,50.0,59.0,1576.0,1364.0,687.0,596.0,164.0,60.0,597.0,1175.0,1.24,0.231
J Marquis,P,124.0,118.0,4.61,377.0,318.0,8.0,5.0,1.0,4.0,1968.1,2079.0,1114.0,1008.0,253.0,88.0,769.0,1174.0,1.45,0.273
M Rivera,P,82.0,60.0,2.21,1115.0,10.0,0.0,0.0,652.0,714.0,1283.2,998.0,340.0,315.0,71.0,46.0,286.0,1173.0,1.0,0.211
A Ashby,P,98.0,110.0,4.12,309.0,285.0,21.0,7.0,1.0,1.0,1810.2,1857.0,922.0,829.0,205.0,61.0,540.0,1173.0,1.32,0.268
I Valdez,P,104.0,105.0,4.09,325.0,288.0,13.0,6.0,1.0,1.0,1827.1,1872.0,892.0,830.0,234.0,47.0,523.0,1173.0,1.31,0.265
